47143,1784.7
3809.3,120.74
98263,1912
1.1065e+05,1648.6
19842,2261.8
659.82,23.559
7811.9,687.5
4215.7,2071.4
36642,1945.2
342.97,10.583
5378.3,737.18
2634.5,18.724
837.11,6.6909
305.08,3.5872
2315,17.246
21803,2271.9
9862.6,2364.4
1092.9,16.852
5369,1650.9
6765.6,2003.5
36781,1633.4
40690,982.94
599.57,1.4896
597.86,22.881
514.04,6.5262
9907.1,1946.9
35.357,3.9017
8122.3,27.245
179.92,5.3867
11460,14.135
83913,1970.8
289.51,9.478
15149,1762.8
19000,2103.9
8149.4,1320.1
266.95,1.0422
11657,2162.3
8192.3,22.677
19200,2306
2.6394e+05,1344.2
20340,3.8701
466.93,20.738
8858.9,1947.2
339.94,10.132
77871,1850.1
1354.7,7.2098
283.99,22.676
1134.5,1.4462
32185,2152.4
1614.4,34.855
694.51,5.43
81.04,0.30719
40782,2423.4
47748,2226.3
11913,1863.2
67765,1364.7
16046,1718.7
435.08,7.3132
84421,1395.1
19581,2767.6
28.388,0.21519
18947,2525.1
1.9066e+05,1631.5
1893.6,1098.6
305.5,6.8373
6003.4,2107.8
133.88,2.0067
856.13,12.23
15.594,2.6323
1.5781e+05,1497.2
11693,1700.6
1138.9,2.5306
2.5871e+05,883
28125,2539.5
62286,169.19
20035,2198.5
28766,1652.7
17846,2452.1
712.74,0.15591
6644.9,1883.4
957.91,13.015
1200.2,4.8498
4057.6,1576.2
585.3,4.3363
4451.4,1794.8
27454,5.5769
3745.5,67.18
2203,939.42
93.127,18.122
19200,2070.8
9505.2,1633.8
6736.6,2032.9
204.36,17.762
379.32,3.0098
13731,2598.4
38.931,28.34
4031.5,20.37
737.57,2.6753
1076.2,9.6608
1.9166e+06,22.263
